8.7			0.1			132.628			39.871			0			0			0			0			15897			0			0
8.8			0.1			136.645			40.4697			0			0			0			0			16378			0			0
8.9			0.1			140.721			41.0683			0			0			0			0			16866			0			0
9			0.1			144.858			41.6669			0			0			0			0			17361.3			0			0
9.1			0.1			149.055			42.2654			0			0			0			0			17863.6			0			0
9.2			0.1			153.311			42.8639			0			0			0			0			18373.1			0			0
9.3			0.1			157.628			43.4623			0			0			0			0			18889.7			0			0
9.4			0.1			162.004			44.0607			0			0			0			0			19413.5			0			0
9.5			0.1			166.44			44.6591			0			0			0			0			19944.3			0			0
9.6			0.1			170.936			45.2574			0			0			0			0			20482.3			0			0
9.7			0.1			175.491			45.8556			0			0			0			0			21027.4			0			0
9.8			0.1			180.107			46.4539			0			0			0			0			21579.6			0			0
9.9			0.1			184.782			47.052			0			0			0			0			22138.9			0			0
10			0.1			189.517			47.6501			0			0			0			0			22705.4			0			0
10.1			0.1			194.312			48.2482			0			0			0			0			23278.9			0			0
10.2			0.1			199.167			48.8462			0			0			0			0			23859.6			0			0
10.3			0.1			204.081			49.4442			0			0			0			0			24447.3			0			0
10.4			0.1			209.056			50.0421			0			0			0			0			25042.2			0			0
10.5			0.1			214.09			50.64			0			0			0			0			25644.1			0			0
10.6			0.1			219.184			51.2378			0			0			0			0			26253.2			0			0
10.7			0.1			224.337			51.8356			0			0			0			0			26869.3			0			0
10.8			0.1			229.551			52.4333			0			0			0			0			27492.5			0			0
10.9			0.1			234.824			53.031			0			0			0			0			28122.8			0			0
11			0.1			240.157			53.6286			0			0			0			0			28760.3			0			0
11.1			0.1			245.55			54.2261			0			0			0			0			29404.7			0			0
11.2			0.1			251.002			54.8236			0			0			0			0			30056.3			0			0
11.3			0.1			256.514			55.4211			0			0			0			0			30715			0			0
11.4			0.1			262.086			56.0185			0			0			0			0			31380.7			0			0
11.5			0.1			267.718			56.6158			0			0			0			0			32053.5			0			0
11.6			0.1			273.409			57.2131			0			0			0			0			32733.4			0			0
11.7			0.1			279.161			57.8103			0			0			0			0			33420.3			0			0
11.8			0.1			284.972			58.4074			0			0			0			0			34114.3			0			0
11.9			0.1			290.842			59.0045			0			0			0			0			34815.4			0			0
12			0.1			296.772			59.6016			0			0			0			0			35523.5			0			0
12.1			0.1			302.762			60.1986			0			0			0			0			36238.7			0			0
12.2			0.1			308.812			60.7955			0			0			0			0			36960.9			0			0
12.3			0.1			314.922			61.3923			0			0			0			0			37690.2			0			0
12.4			0.1			321.091			61.9891			0			0			0			0			38426.5			0			0
12.5			0.1			327.319			62.5858			0			0			0			0			39169.9			0			0
12.6			0.1			333.608			63.1825			0			0			0			0			39920.3			0			0
12.7			0.1			339.956			63.7791			0			0			0			0			40677.7			0			0
12.8			0.1			346.364			64.3756			0			0			0			0			41442.2			0			0
12.9			0.1			352.831			64.9721			0			0			0			0			42213.8			0			0
13			0.1			359.358			65.5685			0			0			0			0			42992.3			0			0
13.1			0.1			365.945			66.1649			0			0			0			0			43777.9			0			0
13.2			0.1			372.591			66.7611			0			0			0			0			44570.5			0			0
13.3			0.1			379.297			67.3573			0			0			0			0			45370.1			0			0
13.4			0.1			386.062			67.9535			0			0			0			0			46176.7			0			0
13.5			0.1			392.888			68.5495			0			0			0			0			46990.4			0			0
13.6			0.1			399.772			69.1455			0			0			0			0			47811			0			0
13.7			0.1			406.717			69.7414			0			0			0			0			48638.7			0			0
13.8			0.1			413.721			70.3373			0			0			0			0			49473.4			0			0
13.9			0.1			420.784			70.9331			0			0			0			0			50315			0			0
14			0.1			427.907			71.5288			0			0			0			0			51163.7			0			0
14.1			0.1			435.09			72.1244			0			0			0			0			52019.3			0			0
14.2			0.1			442.332			72.72			0			0			0			0			52882			0			0
14.3			0.1			449.634			73.3155			0			0			0			0			53751.6			0			0
14.4			0.1			456.995			73.9109			0			0			0			0			54628.2			0			0
14.5			0.1			464.416			74.5062			0			0			0			0			55511.8			0			0
14.6			0.1			471.896			75.1015			0			0			0			0			56402.4			0			0
14.7			0.1			479.436			75.6967			0			0			0			0			57299.9			0			0
14.8			0.1			487.036			76.2918			0			0			0			0			58204.4			0			0
14.9			0.1			494.695			76.8868			0			0			0			0			59115.9			0			0
15			0.1			502.413			77.4818			0			0			0			0			60034.3			0			0
15.1			0.1			510.191			78.0767			0			0			0			0			60959.7			0			0
